accession	superkingdom	phylum	class	order	family	genus	species
CP002446.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	Pseudoxanthomonas suwonensis
BMWP01000018.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter	Arenibacter certesii
CP013118.1		Bacteroidota	Bacteroidia	Bacteroidales	Salinivirgaceae	Salinivirga	Salinivirga cyanobacteriivorans
RAYQ01000036.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Parablautia	Parablautia intestinalis
FNOC01000024.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium KHCPX20
FP565176.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas albilineans
FR894544.1		Bacillota					Firmicutes bacterium CAG:534
SLUO01000001.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix alysoides
AE013598.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas oryzae
AWXB01000056.1		Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. BV3C26
CABHNW010000005.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia luti
LIXZ01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	Rossellomorea vietnamensis
QAZA01000009.1		Verrucomicrobiota					Verrucomicrobia bacterium LW23
QURH01000105.1		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura logoneensis
RPFW01000003.1		Actinomycetota	Actinomycetes	Streptosporangiales	Treboniaceae	Trebonia	Trebonia kvetii
VFQC01000003.1		Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	Haloactinospora	Haloactinospora alba
FMZO01000029.1		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella	Niabella drilacis
JACHIU010000001.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium	Sphaerisporangium rubeum
KV804766.1		Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC071G07
POUD01000029.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea aridisoli
CP046104.1		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora sp. WMMC415
LVWJ02000014.1		Bacteroidota	Saprospiria	Saprospirales	Lewinellaceae	Lewinella	Lewinella sp. 4G2
FNGV01000004.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kriegella	Kriegella aquimaris
HF998691.1		Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. CAG:157
SNWM01000006.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter duraquae
SZZH01000001.1		Actinomycetota	Actinomycetes	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella flava
CP029843.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Marilutibacter	Marilutibacter maris
MASJ01000001.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Caryophanon	Caryophanon tenue
